ticker,approach,sharpe,total_return,win_rate,avg_return,volatility
GE,ORIGINAL,5.71431061062573,18.310903030447776,0.6945812807881774,0.015648101980111604,0.04347084624966076
GOOGL,ADAPTIVE,4.884759151511715,7.89716375612943,0.4876847290640394,0.011508649816661592,0.03740085158334871
CAT,ADAPTIVE,4.768890315556408,7.884272337841635,0.5123152709359606,0.011569121074257007,0.03851086759143778
RTX,ORIGINAL,4.751399788648305,7.770813843861129,0.645320197044335,0.011479659864197708,0.03835373972382619
DIS,ORIGINAL,4.498733698140988,9.40718267581954,0.5665024630541872,0.012527808645111068,0.044206394561116996
AVGO,ADAPTIVE,4.388170594455055,16.56182763208053,0.4827586206896552,0.015779185773261088,0.05708228595290751
NFLX,ORIGINAL,4.368878754598345,10.974020780829447,0.5615763546798029,0.013458492661516566,0.04890200887358009
MSFT,MULTI-SCALE,4.307246367733423,3.3754754259324775,0.5123152709359606,0.007687543153489102,0.028332710470767596
SCHW,ORIGINAL,4.1972482491345895,4.670695449577354,0.5862068965517241,0.009171407169164949,0.034687387214413855
ABBV,ORIGINAL,4.165301787928314,5.552111429295651,0.5960591133004927,0.010007355235964093,0.038139334795729
NVDA,ORIGINAL,3.9648905209681184,16.529798939986957,0.6699507389162561,0.016320338419554596,0.06534287371951614
V,ADAPTIVE,3.5878406080793668,2.025618369996328,0.42857142857142855,0.0057923702280713,0.025628514974574038
JPM,ADAPTIVE,3.40382123022745,2.3657736899178525,0.4876847290640394,0.006450554300174021,0.030083652476023237
AXP,MULTI-SCALE,3.301651389471094,3.198392252655178,0.43842364532019706,0.007792237686980241,0.03746547526283356
IBM,ORIGINAL,3.288515827995032,4.2757378623479285,0.5960591133004927,0.009182177543979956,0.04432472193431604
CRM,ORIGINAL,3.2185201030598107,3.6517791032337685,0.5960591133004927,0.008465928490849865,0.04175597607624238
WMT,MULTI-SCALE,3.2077650964272606,1.8959670219777705,0.43349753694581283,0.005627331067421993,0.02784839556863204
JNJ,MULTI-SCALE,3.159027962884349,1.3055370858770439,0.4827586206896552,0.004363575620630535,0.0219275094519992
INTC,MULTI-SCALE,3.1028417085658058,8.256453719488862,0.41379310344827586,0.01319208220997151,0.06749226434532522
ORCL,ADAPTIVE,3.036073329509237,10.085760403996453,0.41379310344827586,0.014483195410627382,0.0757272880209374
PEP,ADAPTIVE,2.969978186659592,1.4524311812993465,0.39408866995073893,0.004743684227314093,0.02535495140011515
BLK,MULTI-SCALE,2.718281171315043,1.6312876252640174,0.5024630541871922,0.005255618776059274,0.030692322223210375
BAC,MULTI-SCALE,2.709177331615051,2.0771376173356386,0.4975369458128079,0.006239810820438896,0.0365623633410432
META,ADAPTIVE,2.4912869991041093,2.226329112567107,0.43349753694581283,0.0066799510063867435,0.04256472049832199
PM,ORIGINAL,2.4156994554681064,1.9260012245245428,0.5714285714285714,0.006098061212305122,0.0400727501367475
CSCO,MULTI-SCALE,2.342894376105693,1.1475527090438224,0.4630541871921182,0.004180480375224747,0.02832524986128108
KO,ORIGINAL,2.2155588009636253,0.8530635550939207,0.4827586206896552,0.0033202285188423455,0.02378948088294607
HD,MULTI-SCALE,1.8791907303988262,0.6716971308488453,0.43349753694581283,0.002816828493498365,0.023795224909828185
T,ORIGINAL,1.7515780519049617,0.7953995146424622,0.5615763546798029,0.0033463314451464905,0.030327717792390022
AAPL,ADAPTIVE,1.6906873935368496,1.156292942984213,0.43349753694581283,0.0048446367245847015,0.045488139373491825
ABT,ORIGINAL,1.5560124117685417,0.6754827568397996,0.5270935960591133,0.003010121453075548,0.030709393012693806
TMO,ORIGINAL,1.5376277547775314,1.060278065653061,0.4729064039408867,0.004705438397692945,0.048579065139069344
LLY,ORIGINAL,1.3512904812194553,0.9711942745742239,0.5763546798029556,0.005278061275937748,0.062004895622839784
MA,MULTI-SCALE,1.2677306955188075,0.436570277810326,0.47783251231527096,0.0021596486654738125,0.027043093497603792
BRK-B,ORIGINAL,1.2665203307385549,0.3927742935367806,0.5073891625615764,0.0019203274548527688,0.024069296440210917
CVX,MULTI-SCALE,1.2211508251536085,0.5029431842424463,0.458128078817734,0.0026029071848206456,0.033836828121304646
COST,ADAPTIVE,1.2113477978325347,0.3308521821125838,0.35467980295566504,0.0016357435854266742,0.021436142832562875
UNH,ORIGINAL,1.0623936612224734,0.5703678681729833,0.5172413793103449,0.005217567639088959,0.07796198485862604
XOM,ORIGINAL,1.0530664659559976,0.4173308337062134,0.5566502463054187,0.00237024162856858,0.03573033668277817
NOW,ORIGINAL,1.0235132231002855,0.5316771375542795,0.4876847290640394,0.0035786160684618163,0.05550369809341658
QCOM,MULTI-SCALE,0.9977454763501648,0.4273490791269863,0.4088669950738916,0.002691225964413253,0.0428184228893573
MCD,ORIGINAL,0.9846820987316957,0.26993165361377836,0.5073891625615764,0.0014484729349458067,0.023351490831064622
ISRG,MULTI-SCALE,0.3655083699654307,0.03252512581683353,0.3399014778325123,0.0009278769173078238,0.04029891141545015
TMUS,ORIGINAL,0.3467177589374001,0.024224065705547027,0.5123152709359606,0.0008234917515905054,0.03770365362475991
NEE,ORIGINAL,-0.3001810079648857,-0.26126726538327405,0.4975369458128079,-0.0007336434141333043,0.03879735173034297
PG,ADAPTIVE,-0.3271669491857726,-0.12787024189817298,0.35467980295566504,-0.00044373094316659504,0.02153032378541982
TSLA,ADAPTIVE,-0.3630299783555443,-0.6990087661165996,0.5024630541871922,-0.0020081300517624965,0.08781114013733661
MRK,MULTI-SCALE,-0.5824102918110133,-0.352177230692451,0.3399014778325123,-0.0014094057842759457,0.03841556978646359
AMZN,ADAPTIVE,-1.1903163434083512,-0.5138326667308559,0.39408866995073893,-0.002819688593880227,0.03760443096676787
AMD,ORIGINAL,-3.7260735286364026,-0.9929224708277308,0.33004926108374383,-0.020479706484643534,0.08725143483970849
