ticker,train_samples,test_samples,features,train_corr,test_corr,train_rmse,test_rmse,sharpe,total_return,avg_return,volatility,win_rate,max_drawdown,num_trades,old_sharpe,old_test_corr,old_win_rate,sharpe_improvement,corr_improvement,timestamp
GE,603,151,185,0.49036012950387836,0.28066879516940646,0.03379164992845891,0.044389253082177546,5.29562521311066,7.038523283987191,0.014925458017115327,0.044741516094368515,0.6821192052980133,-0.585622035227621,151,5.728437481653987,-0.1647766942481177,0.6945812807881774,-0.4328122685433273,0.44544548941752415,2025-10-31 16:27:43
MSFT,603,151,185,0.3135067888793932,0.1102815174473094,0.031558803433254616,0.03294173845333491,5.071492988819209,3.3754754259324775,0.010334909007670782,0.03234976262460882,0.6887417218543046,-0.29674774019901473,151,2.978430865493685,,0.6305418719211823,2.0930621233255238,,2025-10-31 16:27:30
AXP,603,151,185,0.27305888447258864,0.05771537225783037,0.0359408012753634,0.04326639980527884,3.866681950598514,3.198392252655178,0.010475657287794628,0.04300739138757852,0.5894039735099338,-0.47935303428151127,151,-0.8600606063092262,-0.1603539599996186,0.5108695652173914,4.72674255690774,0.21806933225744896,2025-10-31 16:27:48
WMT,603,151,185,0.1975508266060985,0.05063458900124321,0.02565085356425299,0.03208359993926258,3.755128917442597,1.8959670219777705,0.007565219911832217,0.031981363527492805,0.5906040268456376,-0.30703331508255005,149,1.6773995409880644,,0.5763546798029556,2.0777293764545326,,2025-10-31 16:27:35
RTX,603,151,185,,,0.03010945138614618,0.038964530017473395,3.7473037309174964,2.5228032908464506,0.009119433824525059,0.03863218313210464,0.6423841059602649,-0.40745411202865145,151,4.763146159574153,-0.0245306982494512,0.645320197044335,-1.0158424286566565,,2025-10-31 16:27:49
AVGO,603,151,185,0.6837923059428301,0.2728254013264897,0.04679802169086408,0.06705306048663678,3.7040719298300044,6.480546658203692,0.015567593164972367,0.06671789447928365,0.6941176470588235,-0.6710338271185162,85,3.2157737414263963,0.2363889162538214,0.6059113300492611,0.48829818840360817,0.03643648507266828,2025-10-31 16:27:32
JNJ,603,151,185,,,0.02209533201389435,0.025826904105745393,3.6972764372960603,1.3055370858770439,0.005866263913827807,0.02518720312795155,0.6490066225165563,-0.3567635739866097,151,-4.523282426654036,,0.0,8.220558863950096,,2025-10-31 16:27:39
INTC,603,151,185,0.745895097814781,-0.03297898510426163,0.04910869384418205,0.10504271014615199,3.630627739002271,8.256453719488862,0.017735050918041173,0.07754449796238175,0.5517241379310345,-0.7155050493917615,145,0.0194487637811291,-0.0680440258429856,0.5142857142857142,3.611178975221142,0.03506504073872398,2025-10-31 16:27:55
BLK,603,151,185,0.3311623355792354,0.2827146149025827,0.03173421142236394,0.03503658108776517,3.1757113077237618,1.6312876252640174,0.007065500738675713,0.03531849598018654,0.6754966887417219,-0.49485356935704955,151,-0.1085322129030447,0.0452671849714728,0.6842105263157895,3.2842435206268066,0.2374474299311099,2025-10-31 16:27:58
BAC,603,151,185,0.36634291136916053,-0.08048272980985192,0.03764170672534649,0.04269217102720237,3.1649670005050385,2.0771376173356386,0.008388619844696,0.04207475518433903,0.6688741721854304,-0.6043296030485139,151,-1.6684590729190107,0.083046686275475,0.6055045871559633,4.833426073424049,-0.16352941608532692,2025-10-31 16:27:42
NVDA,603,151,185,0.773176786104974,0.17484638929902338,0.05194106285877086,0.056909652272364906,2.976592644205228,2.9790712062758273,0.01083448463504678,0.05778154155629456,0.6864406779661016,-0.5850793410178343,118,3.97469249024272,0.2421659366561375,0.6759776536312849,-0.9980998460374919,-0.06731954735711412,2025-10-31 16:27:29
CSCO,603,151,185,0.22551911013785297,,0.02830450140170516,0.03271306809419156,2.733554399539645,1.1475527090438224,0.005620116001129958,0.03263757095339785,0.6225165562913907,-0.41248496283955705,151,2.708033836708012,,0.6059113300492611,0.025520562831633065,,2025-10-31 16:27:46
JPM,603,151,185,0.27345481952859624,0.1752170567840872,0.030457361256824224,0.034780763590663316,2.6054860384706497,1.1694673116089263,0.005764241055807262,0.03511993103516191,0.6697247706422018,-0.44766181380651304,109,1.2924591217337382,0.0575481339771789,0.6473684210526316,1.3130269167369115,0.1176689228069083,2025-10-31 16:27:34
DIS,603,151,185,0.3635417006620514,0.3082350039983043,0.03674944394304458,0.047633757031222294,2.503978451345625,1.645860052697207,0.007547536485320919,0.04784922459843327,0.7222222222222222,-0.4398281611660626,18,4.509855430065385,0.2115686968868194,0.6212121212121212,-2.00587697871976,0.09666630711148488,2025-10-31 16:27:54
NFLX,603,151,185,0.575783359050816,0.18417135521350117,0.04310245343761153,0.04297612393970485,2.264197392987626,1.2045597924525682,0.006166940669767339,0.04323702009240054,0.6,-0.544467244156257,100,4.379679460214441,0.2061617025504248,0.7608695652173914,-2.1154820672268153,-0.02199034733692362,2025-10-31 16:27:38
ABBV,603,151,185,0.3935926452535101,0.14857652745209646,0.031081958227117616,0.03962390161424977,2.2430062068545285,1.073419324124825,0.005620879452571627,0.03978085072309895,0.6455696202531646,-0.49864133139103084,79,4.175599212265453,0.1750704718873631,0.6693548387096774,-1.9325930054109248,-0.026493944435266648,2025-10-31 16:27:41
HD,603,151,185,0.2351087036708044,,0.031530198882450906,0.027488883670184885,2.189567789117302,0.6716971308488453,0.0037868621468885306,0.027454995108391535,0.5827814569536424,-0.3988666598518332,151,0.0826303661442801,,0.5270935960591133,2.106937422973022,,2025-10-31 16:27:42
IBM,603,151,185,0.27256849284878076,0.16081504744928835,0.032639376833754334,0.0378321018919015,2.1100974727060824,0.916555554980083,0.005045516311896582,0.03795800403498493,0.6225165562913907,-0.6448976079080676,151,3.2966456693953385,,0.5960591133004927,-1.1865481966892562,,2025-10-31 16:27:46
AAPL,603,151,185,0.25096319373928966,-0.054940828745401224,0.03464807409353556,0.05253204069855217,1.8262148491899566,1.0097377529081646,0.006047046523311857,0.05256439988170339,0.5874125874125874,-0.5877975763689132,143,-0.3807724051552844,-0.092166051087424,0.5195530726256983,2.206987254345241,0.037225222342022773,2025-10-31 16:27:30
GOOGL,603,151,185,0.5112775211500512,0.058712572280081456,0.03983172207448029,0.04470042075749854,1.523346856632802,0.6440539926796938,0.0043242867924226025,0.045062570224198954,0.6666666666666666,-0.5864952600397098,117,0.1080750210652532,0.116278935976773,0.5705882352941176,1.4152718355675487,-0.05756636369669154,2025-10-31 16:27:31
MA,603,151,185,,,0.024467251692266438,0.031337441238557306,1.4751584919707668,0.436570277810326,0.0029033687357032044,0.031243795215773692,0.6423841059602649,-0.4097135765499149,151,-2.636079266756178,-0.3720869106386729,0.5795454545454546,4.111237758726945,,2025-10-31 16:27:37
CVX,603,151,185,0.2754138191626332,0.18568859824135914,0.02971695038135573,0.039182894847865496,1.420843808111995,0.5029431842424463,0.0034992725729708026,0.0390959440222163,0.6097560975609756,-0.5479420203955313,123,1.2057493762082736,0.1472472484783911,0.5977653631284916,0.21509443190372135,0.038441349762968036,2025-10-31 16:27:45
QCOM,603,151,185,0.47159573565907165,0.04495611895592131,0.04327383911965816,0.04948555753639312,1.160509550212744,0.4273490791269863,0.003618005766727751,0.049490382042979654,0.5496688741721855,-0.6045755052632085,151,0.3090667575055626,0.1404949781366393,0.65,0.8514427927071815,-0.095538859180718,2025-10-31 16:27:56
TMO,603,151,185,0.34520330411495687,,0.031001838846133913,0.05237538676729533,1.1086356274004479,0.42157408058899115,0.003656807655813215,0.052361678141437676,0.44370860927152317,-0.7406243436353016,151,1.541429065287467,0.0965879110599172,0.4615384615384615,-0.4327934378870191,,2025-10-31 16:27:53
COST,603,151,185,0.31417313208490355,0.1609881179061663,0.02918455652580035,0.025263953583110572,1.040865328042173,0.2206349415760369,0.0016269100470867716,0.02481242831765982,0.4900662251655629,-0.48140355815261915,151,0.1294173242828059,-0.1084966923379607,0.4921465968586387,0.9114480037593671,0.269484810244127,2025-10-31 16:27:40
V,603,151,185,,,0.024546937082977494,0.03058359764082825,0.8108058053189682,0.17721042789760633,0.0015503579137472847,0.03035396236194375,0.5827814569536424,-0.38397843532974113,151,-1.101616229780803,-0.1521592865514472,0.539568345323741,1.9124220350997712,,2025-10-31 16:27:37
META,603,151,185,0.608875047929662,-0.10562862150276105,0.04288125584204824,0.05654756142660963,0.697426864812454,0.15221712074503957,0.0021873880379319243,0.04978831525844642,0.6160714285714286,-0.728286357851541,112,0.0318438684762097,-0.0820476078700342,0.5677966101694916,0.6655829963362443,-0.02358101363272684,2025-10-31 16:27:33
MCD,603,151,185,,,0.023697410065867983,0.020700819651595086,0.642400252299195,0.09853195688990746,0.0008365935116045371,0.020673264422613687,0.5165562913907285,-0.3925683250293254,151,0.9871164216029008,,0.5073891625615764,-0.34471616930370585,,2025-10-31 16:27:51
PM,603,151,185,,,0.028745423322729786,0.03614292323968048,0.6010088098178503,0.11198677480886854,0.0013603728609260064,0.035931669102379646,0.5496688741721855,-0.5772458115517328,151,2.421671527512453,,0.5714285714285714,-1.8206627176946029,,2025-10-31 16:27:50
XOM,603,151,185,0.31506154803544595,0.14502442263514634,0.02998755143009562,0.03863006059604175,0.4371395771894644,0.04547673358318938,0.001068928943057841,0.03881762668180114,0.5695364238410596,-0.5148961596932918,151,1.0556698480894569,0.3483904738707572,0.5566502463054187,-0.6185302708999925,-0.20336605123561088,2025-10-31 16:27:38
ISRG,603,151,185,0.44124643092433613,0.06588885614873677,0.03630326190332445,0.05234148540200844,0.424882701493481,0.03252512581683353,0.0012474106901555512,0.04660587673700346,0.43529411764705883,-0.6476456635898691,85,-1.0746378696965262,-0.0743658589108863,0.3684210526315789,1.4995205711900073,0.14025471505962306,2025-10-31 16:27:56
LLY,603,151,185,0.4001787195450172,0.2909759988112819,0.040056223571096526,0.06431028903275637,0.40910151042175624,-0.06453769832486211,0.0016680378137185834,0.06472545009185904,0.5165562913907285,-0.7973818488196471,151,1.3546311302759488,0.3214309845743912,0.572139303482587,-0.9455296198541926,-0.030454985763109288,2025-10-31 16:27:35
ABT,603,151,185,,,0.02847261992819128,0.025460086192314407,0.2660699343634335,0.015207370020588806,0.00042548743031547287,0.02538582036994055,0.5231788079470199,-0.3670872364219911,151,1.559859172674143,,0.5270935960591133,-1.2937892383107097,,2025-10-31 16:27:51
KO,603,151,185,,,0.02054231434978603,0.02099530200003108,0.25531424728180413,0.018050014112324098,0.0003365019878085806,0.020922465194926316,0.4503311258278146,-0.39571132031500544,151,2.221036086951288,,0.4827586206896552,-1.965721839669484,,2025-10-31 16:27:45
ORCL,603,151,185,0.5820607144638478,0.17137834326602264,0.041493175640540406,0.09286340674055023,0.0439899910212136,-0.4799331440570207,0.0002471328885625699,0.0891819455393324,0.6507936507936508,-0.9360445451017104,63,3.053296675438092,-0.0048635034614943,0.5665024630541872,-3.0093066844168783,0.17624184672751694,2025-10-31 16:27:36
T,603,151,185,0.2680284829350323,-0.1960386492163859,0.032102968481902944,0.030389151523150033,-0.3916227930663151,-0.15225384296693778,-0.0006929787325071202,0.02809003085415602,0.5298013245033113,-0.4966046093050242,151,1.755908288554887,0.0857989527252032,0.5688622754491018,-2.147531081621202,-0.2818376019415891,2025-10-31 16:27:57
CAT,603,151,185,0.41589055913359196,-0.04701668479052371,0.038454775188813586,0.04592027689310056,-0.6120412387793862,-0.3550134775810936,-0.0017921726864692988,0.04648356614992196,0.6666666666666666,-0.765531220157494,81,3.951969998182327,0.2110297429962337,0.61,-4.564011236961713,-0.2580464277867574,2025-10-31 16:27:47
MRK,603,151,185,,,0.02911024688729403,0.0444859292061866,-0.6771144748134861,-0.352177230692451,-0.0018947640676027606,0.04442150953041391,0.45695364238410596,-0.6728948066276675,151,-0.8272225062051992,,0.4778325123152709,0.15010803139171314,,2025-10-31 16:27:52
PEP,603,151,185,,,0.022108564434252163,0.029890548440895098,-0.6943241916162812,-0.2329275506294134,-0.001303779578707299,0.029808639001970123,0.0,-0.6145126250363869,0,-0.4095024869717959,,0.0,-0.2848217046444853,,2025-10-31 16:27:53
CRM,603,151,185,0.5349000448290112,0.3762875525938385,0.04314189983737495,0.042591327906415184,-0.8705521891245558,-0.38675255685732024,-0.0023288962471914513,0.04246739283169107,0.5100671140939598,-0.6511370903279096,149,3.2264769016127683,0.2211304943908521,0.5714285714285714,-4.097029090737324,0.1551570582029864,2025-10-31 16:27:48
BRK-B,603,151,185,,,0.02190873654899535,0.023864098076403755,-1.0079438127408524,-0.22735519171444074,-0.00144677398025922,0.0227858186539756,0.4503311258278146,-0.5045568642201496,151,1.269651411736102,,0.5073891625615764,-2.277595224476954,,2025-10-31 16:27:34
TMUS,603,151,185,0.29112377740206574,0.09916559128065043,0.027358002186484903,0.037171973212346755,-1.6451077150691222,-0.48155975068257584,-0.003699484234501757,0.0356982652529274,0.47019867549668876,-0.5801389744882546,151,0.3475749116890561,,0.5123152709359606,-1.9926826267581783,,2025-10-31 16:27:50
SCHW,603,151,185,0.5886276101867042,0.22300043927497132,0.040781173072972465,0.03557465282209912,-1.6876762106431675,-0.4461625787268715,-0.0033958787140406068,0.03194208878419369,0.6,-0.6273814340452775,30,4.207624651246654,0.1774777673462039,0.8888888888888888,-5.8953008618898215,0.04552267192876741,2025-10-31 16:27:58
NEE,603,151,185,0.3222995825244046,-0.23824956157248003,0.03485466709913595,0.04139218755985923,-1.972220175770255,-0.589167431817287,-0.005042482359937564,0.040587215804993367,0.4700854700854701,-0.7776737488213162,117,-0.3009231129489526,-0.1475293816123756,0.5149253731343284,-1.6712970628213024,-0.09072017996010442,2025-10-31 16:27:59
PG,603,151,185,,,0.02107272439518474,0.025337819992157944,-2.01096860226584,-0.40539120622704705,-0.0031302457605869595,0.02471003818467129,0.4503311258278146,-0.4911035128476758,151,-1.043629392173797,,0.4827586206896552,-0.967339210092043,,2025-10-31 16:27:43
UNH,603,151,185,0.41051172861106683,-0.244626376242561,0.03452267494124933,0.08958857461223056,-2.6359497310753297,-0.9377157800023744,-0.014216738818580432,0.08561761612876627,0.4859154929577465,-0.9931420125253593,142,1.0650201019702723,-0.1091621814856666,0.5298013245033113,-3.700969833045602,-0.13546419475689442,2025-10-31 16:27:44
AMZN,603,151,185,0.49422079916658895,-0.2003412788683817,0.040987024194773986,0.046178761384036565,-3.766940780476614,-0.8115632549838447,-0.010070308418933527,0.042437935590026045,0.46808510638297873,-0.9098200479643866,47,-1.4512721159129245,-0.0216952462149511,0.4444444444444444,-2.3156686645636895,-0.1786460326534306,2025-10-31 16:27:31
TSLA,603,151,185,0.8189723725512751,-0.0711247639403542,0.05487009074668012,0.11414958660455986,-4.562816267481749,-0.9863891582479483,-0.02423546822461997,0.08431769074708943,0.0,-0.9867021664833177,0,-1.3037603561882003,-0.1235119860139152,0.4,-3.259055911293549,0.052387222073561,2025-10-31 16:27:33
NOW,603,151,185,0.4516442788596856,-0.3230013646927624,0.042269907265687814,0.0596037314667212,-4.740798483178933,-0.9236188003528681,-0.015435710364390119,0.051686294296669495,0.4,-0.95732783670448,85,1.0260435439532627,0.1004106222814345,0.4615384615384615,-5.766842027132196,-0.4234119869741969,2025-10-31 16:27:54
AMD,603,151,185,0.6971973245392935,-0.1141447621212883,0.05031170518812197,0.1023595643379523,-5.1673178896640115,-0.9953777169939382,-0.030130684382954763,0.09256442055047562,1.0,-0.9976824091307126,1,-3.735285096534544,-0.2043211145932554,0.3846153846153846,-1.4320327931294674,0.09017635247196709,2025-10-31 16:27:40
